sequence,n,p,q,x0,x1,value
fibonacci,0,1,1,0,1,0
fibonacci,1,1,1,0,1,1
fibonacci,2,1,1,0,1,1
fibonacci,3,1,1,0,1,2
fibonacci,4,1,1,0,1,3
fibonacci,5,1,1,0,1,5
fibonacci,6,1,1,0,1,8
fibonacci,7,1,1,0,1,13
lucas,0,1,1,2,1,2
lucas,1,1,1,2,1,1
lucas,2,1,1,2,1,3
lucas,3,1,1,2,1,4
lucas,4,1,1,2,1,7
lucas,5,1,1,2,1,11
lucas,6,1,1,2,1,18
lucas,7,1,1,2,1,29
pell,0,2,1,0,1,0
pell,1,2,1,0,1,1
pell,2,2,1,0,1,2
pell,3,2,1,0,1,5
pell,4,2,1,0,1,12
pell,5,2,1,0,1,29
pell,6,2,1,0,1,70
pell,7,2,1,0,1,169
oscillator,0,1,-1,0,1,0
oscillator,1,1,-1,0,1,1
oscillator,2,1,-1,0,1,1
oscillator,3,1,-1,0,1,0
oscillator,4,1,-1,0,1,-1
oscillator,5,1,-1,0,1,-1
oscillator,6,1,-1,0,1,0
oscillator,7,1,-1,0,1,1
